Well ID,Well,Parallel Intensity,Perpendicular Intensity,Polarization
SPL308,D20,15,9,274
SPL309,E20,14,7,318
SPL310,F20,14,9,241
SPL311,G20,15,4,583
SPL312,H20,15,14,18
SPL313,I20,13,7,328
SPL314,J20,15,10,206
SPL315,K20,14,6,405
SPL316,L20,15,5,530
SPL317,M20,14,9,241
SPL318,N20,15,6,434
SPL319,O20,15,8,310
SPL320,P20,15,5,530
SPL321,A21,13,11,105
SPL322,B21,14,9,241
SPL323,C21,14,8,279
SPL324,D21,14,6,405
SPL325,E21,17,5,574
SPL326,F21,14,10,173
SPL327,G21,15,7,349
SPL328,H21,15,9,274
SPL329,I21,13,9,171
SPL330,J21,14,7,361
SPL331,K21,14,8,279
SPL332,L21,15,4,583
SPL333,M21,14,9,241
SPL334,N21,15,11,146
SPL335,O21,14,10,173
SPL336,P21,14,5,453
SPL337,A22,14,6,405
SPL338,B22,14,7,318
SPL339,C22,14,8,279
SPL340,D22,15,7,349
SPL341,E22,15,9,239
SPL342,F22,13,5,477
SPL343,G22,15,10,206
SPL344,H22,14,7,361
SPL345,I22,13,11,105
SPL346,J22,16,8,339
SPL347,K22,12,9,131
SPL348,L22,13,6,374
SPL349,M22,15,9,239
SPL350,N22,16,6,460
SPL351,O22,14,7,318
SPL352,P22,13,8,244
SPL353,A23,16,11,206
SPL354,B23,13,5,424
SPL355,C23,15,9,274
SPL356,D23,15,6,434
SPL357,E23,13,10,137
SPL358,F23,13,7,285
SPL359,G23,14,10,173
SPL360,H23,14,8,279
SPL361,I23,14,7,361
SPL362,J23,14,7,318
SPL363,K23,14,3,684
SPL364,L23,15,8,310
SPL365,M23,14,10,173
SPL366,N23,14,7,361
SPL367,O23,14,9,206
SPL368,P23,15,5,530
SPL369,A24,15,5,530
SPL370,B24,15,3,640
SPL371,C24,14,7,318
SPL372,D24,16,5,505
SPL373,E24,14,9,206
SPL374,F24,14,10,173
SPL375,G24,13,5,477
SPL376,H24,15,9,274
SPL377,I24,15,11,146
SPL378,J24,16,2,780
SPL379,K24,14,5,505
SPL380,L24,16,9,269
SPL381,M24,14,8,279
SPL382,N24,15,7,349
SPL383,O24,15,7,349
SPL384,P24,14,11,142
