Well,Enzyme Concentration (uM),Buffer pH,Uric Acid,Inhibitor,Parallel Intensity,Perpendicular Intensity,Polarization,Parallel Intensity,Perpendicular Intensity,Polarization,Parallel Intensity,Perpendicular Intensity,Polarization,A292,Parallel,Perpendicular,Enzyme Concentration (uM),Buffer pH,Uric Acid,Inhibitor,Total F,Polarization,A292 norm
C14,0,7.4,No,new,4541,4372,19,4501,4326,20,4503,4334,19,0.286,4497.291667,4333.666667,0,7.4,False,new,8831,18.5,-0.001
C16,0,7.4,No,new,4222,4055,20,4217,4053,20,4207,4043,20,0.281,4197.625,4040,0,7.4,False,new,8237.6,19.1,-0.006
C18,0,7.4,No,new,4384,4214,20,4351,4186,19,4356,4192,19,0.284,4345.958333,4187,0,7.4,False,new,8533,18.6,-0.003
C20,0,7.4,No,new,4132,3975,19,4141,3988,19,4149,4001,18,0.284,4122.958333,3977.666667,0,7.4,False,new,8100.6,17.9,-0.003
I14,0.1,7.4,No,new,3963,3820,18,3984,3824,21,3985,3837,19,0.281,3959.458333,3816.833333,0.1,7.4,False,new,7776.3,18.3,-0.006
I16,0.1,7.4,No,new,4002,3849,20,4009,3859,19,4033,3884,19,0.286,3996.791667,3853.833333,0.1,7.4,False,new,7850.6,18.2,-0.001
I18,0.1,7.4,No,new,3933,3780,20,3946,3795,20,3961,3828,17,0.28,3928.791667,3790.833333,0.1,7.4,False,new,7719.6,17.9,-0.007
I20,0.1,7.4,No,new,4025,3886,18,4025,3891,17,4029,3894,17,0.281,4008.458333,3880.166667,0.1,7.4,False,new,7888.6,16.3,-0.006
K14,0.1,7.4,No,new,3901,3760,18,3942,3799,18,3926,3805,16,0.28,3905.125,3777.833333,0.1,7.4,False,new,7683,16.6,-0.007
K16,0.1,7.4,No,new,3805,3662,19,3808,3674,18,3818,3687,17,0.286,3792.458333,3664.166667,0.1,7.4,False,new,7456.6,17.2,-0.001
K18,0.1,7.4,No,new,3748,3631,16,3801,3679,16,3827,3710,15,0.286,3774.125,3663.166667,0.1,7.4,False,new,7437.3,14.9,-0.001
K20,0.1,7.4,No,new,3946,3805,18,3974,3852,16,3957,3834,16,0.284,3941.125,3820.166667,0.1,7.4,False,new,7761.3,15.6,-0.003
E14,1,7.4,No,new,4339,4183,18,4298,4147,18,4316,4163,18,0.288,4295.583333,4153.125,1,7.4,False,new,8448.7,16.9,0.001
E16,1,7.4,No,new,4320,4162,19,4289,4124,20,4265,4101,20,0.285,4269.25,4117.791667,1,7.4,False,new,8387,18.1,-0.002
E18,1,7.4,No,new,4282,4096,22,4249,4093,19,4249,4085,20,0.287,4237.916667,4080.125,1,7.4,False,new,8318,19,0
E20,1,7.4,No,new,4073,3914,20,4096,3951,18,4072,3919,19,0.286,4058.25,3916.791667,1,7.4,False,new,7975,17.7,-0.001
G14,1,7.4,No,new,4208,4029,22,4168,4016,19,4179,4016,20,0.284,4162.916667,4009.125,1,7.4,False,new,8172,18.8,-0.003
G16,1,7.4,No,new,4118,3963,19,4136,3984,19,4113,3956,19,0.287,4100.25,3956.458333,1,7.4,False,new,8056.7,17.8,0
G18,1,7.4,No,new,4077,3897,23,4059,3896,20,4075,3920,19,0.293,4048.25,3893.125,1,7.4,False,new,7941.4,19.5,0.006
G20,1,7.4,No,new,4017,3860,20,3988,3849,18,3993,3848,18,0.293,3977.25,3841.125,1,7.4,False,new,7818.4,17.4,0.006
B14,0,7.4,No,none,18,11,233,18,7,426,17,11,235,0.059,-0.041666667,-0.666666667,0,7.4,False,none,-0.7,-882.4,-0.002
B16,0,7.4,No,none,19,12,232,18,10,292,18,9,323,0.059,0.625,0,0,7.4,False,none,0.6,1000,-0.002
B18,0,7.4,No,none,18,13,155,18,10,292,18,13,155,0.059,0.291666667,1.666666667,0,7.4,False,none,2,-702.1,-0.002
B20,0,7.4,No,none,18,11,262,18,13,155,18,14,109,0.059,0.291666667,2.333333333,0,7.4,False,none,2.6,-777.8,-0.002
D14,0,7.4,No,none,17,11,206,17,7,403,17,8,366,0.059,-0.708333333,-1.666666667,0,7.4,False,none,-2.4,-403.5,-0.002
D16,0,7.4,No,none,17,9,297,18,11,262,17,10,265,0.059,-0.375,-0.333333333,0,7.4,False,none,-0.7,58.8,-0.002
D18,0,7.4,No,none,17,10,265,18,12,206,17,6,483,0.059,-0.375,-1,0,7.4,False,none,-1.4,-454.5,-0.002
D20,0,7.4,No,none,18,9,356,18,11,233,18,10,292,0.059,0.291666667,-0.333333333,0,7.4,False,none,0,-15000,-0.002
J14,0.1,7.4,No,none,18,9,356,17,11,235,16,8,339,0.061,-0.875,-0.833333333,0.1,7.4,False,none,-1.7,24.4,0
J16,0.1,7.4,No,none,17,11,206,17,8,366,17,9,331,0.06,-0.875,-0.833333333,0.1,7.4,False,none,-1.7,24.4,-0.001
J18,0.1,7.4,No,none,18,7,426,18,9,356,18,10,292,0.061,0.125,-1.5,0.1,7.4,False,none,-1.4,-1181.8,0
J20,0.1,7.4,No,none,18,12,206,18,13,180,18,7,426,0.061,0.125,0.5,0.1,7.4,False,none,0.6,-600,0
L14,0.1,7.4,No,none,21,15,162,20,11,283,20,11,283,0.057,2.458333333,2.166666667,0.1,7.4,False,none,4.6,63.1,-0.004
L16,0.1,7.4,No,none,17,9,331,17,10,265,18,12,206,0.058,-0.541666667,0.166666667,0.1,7.4,False,none,-0.4,1888.9,-0.003
L18,0.1,7.4,No,none,18,9,356,18,9,323,17,12,179,0.059,-0.208333333,-0.166666667,0.1,7.4,False,none,-0.4,111.1,-0.002
L20,0.1,7.4,No,none,17,11,235,18,10,292,18,11,233,0.061,-0.208333333,0.5,0.1,7.4,False,none,0.3,-2428.6,0
F14,1,7.4,No,none,22,9,440,21,8,453,22,10,381,0.065,-0.416666667,-2.208333333,1,7.4,False,none,-2.6,-682.5,0.004
F16,1,7.4,No,none,23,11,346,22,13,275,23,14,249,0.065,0.583333333,1.458333333,1,7.4,False,none,2,-428.6,0.004
F18,1,7.4,No,none,21,14,184,23,13,296,23,10,399,0.065,0.25,1.125,1,7.4,False,none,1.4,-636.4,0.004
F20,1,7.4,No,none,22,14,228,23,12,320,23,12,320,0.065,0.583333333,1.458333333,1,7.4,False,none,2,-428.6,0.004
H14,1,7.4,No,none,21,13,230,22,8,472,21,6,560,0.065,-0.75,-2.208333333,1,7.4,False,none,-3,-493,0.004
H16,1,7.4,No,none,21,16,142,22,9,440,23,12,320,0.065,-0.083333333,1.125,1,7.4,False,none,1,-1160,0.004
H18,1,7.4,No,none,21,9,421,22,11,326,21,7,487,0.065,-0.75,-2.208333333,1,7.4,False,none,-3,-493,0.004
H20,1,7.4,No,none,22,11,326,23,13,272,23,14,249,0.065,0.583333333,1.458333333,1,7.4,False,none,2,-428.6,0.004
