

Software Version,3.08.01
I,SPL9,SPL25,SPL41,SPL57,SPL73,SPL89,SPL105,SPL121,SPL137,SPL153,SPL169,SPL185,SPL201,SPL217,SPL233,SPL249,SPL265,SPL281,SPL297,SPL313,SPL329,SPL345,SPL361,SPL377,Well ID
J,SPL10,SPL26,SPL42,SPL58,SPL74,SPL90,SPL106,SPL122,SPL138,SPL154,SPL170,SPL186,SPL202,SPL218,SPL234,SPL250,SPL266,SPL282,SPL298,SPL314,SPL330,SPL346,SPL362,SPL378,Well ID
K,SPL11,SPL27,SPL43,SPL59,SPL75,SPL91,SPL107,SPL123,SPL139,SPL155,SPL171,SPL187,SPL203,SPL219,SPL235,SPL251,SPL267,SPL283,SPL299,SPL315,SPL331,SPL347,SPL363,SPL379,Well ID
L,SPL12,SPL28,SPL44,SPL60,SPL76,SPL92,SPL108,SPL124,SPL140,SPL156,SPL172,SPL188,SPL204,SPL220,SPL236,SPL252,SPL268,SPL284,SPL300,SPL316,SPL332,SPL348,SPL364,SPL380,Well ID
M,SPL13,SPL29,SPL45,SPL61,SPL77,SPL93,SPL109,SPL125,SPL141,SPL157,SPL173,SPL189,SPL205,SPL221,SPL237,SPL253,SPL269,SPL285,SPL301,SPL317,SPL333,SPL349,SPL365,SPL381,Well ID
N,SPL14,SPL30,SPL46,SPL62,SPL78,SPL94,SPL110,SPL126,SPL142,SPL158,SPL174,SPL190,SPL206,SPL222,SPL238,SPL254,SPL270,SPL286,SPL302,SPL318,SPL334,SPL350,SPL366,SPL382,Well ID
O,SPL15,SPL31,SPL47,SPL63,SPL79,SPL95,SPL111,SPL127,SPL143,SPL159,SPL175,SPL191,SPL207,SPL223,SPL239,SPL255,SPL271,SPL287,SPL303,SPL319,SPL335,SPL351,SPL367,SPL383,Well ID
P,SPL16,SPL32,SPL48,SPL64,SPL80,SPL96,SPL112,SPL128,SPL144,SPL160,SPL176,SPL192,SPL208,SPL224,SPL240,SPL256,SPL272,SPL288,SPL304,SPL320,SPL336,SPL352,SPL368,SPL384,Well ID



Actual Temperature:,22.7



Actual Temperature:,22.7

Results

Well ID,SPL1,SPL2,SPL3,SPL4,SPL5,SPL6,SPL7,SPL8,SPL9,SPL10,SPL11,SPL12,SPL13,SPL14,SPL15,SPL16,SPL17,SPL18,SPL19,SPL20,SPL21,SPL22,SPL23,SPL24,SPL25,SPL26,SPL27,SPL28,SPL29,SPL30,SPL31,SPL32,SPL33,SPL34,SPL35,SPL36,SPL37,SPL38,SPL39,SPL40,SPL41,SPL42,SPL43,SPL44,SPL45,SPL46,SPL47,SPL48,SPL49,SPL50,SPL51,SPL52,SPL53,SPL54,SPL55,SPL56,SPL57,SPL58,SPL59,SPL60,SPL61,SPL62,SPL63,SPL64,SPL65,SPL66,SPL67,SPL68,SPL69,SPL70,SPL71,SPL72,SPL73,SPL74,SPL75,SPL76,SPL77,SPL78,SPL79,SPL80,SPL81,SPL82,SPL83,SPL84,SPL85,SPL86,SPL87,SPL88,SPL89,SPL90,SPL91,SPL92,SPL93,SPL94,SPL95,SPL96,SPL97,SPL98,SPL99,SPL100,SPL101,SPL102,SPL103,SPL104,SPL105,SPL106,SPL107,SPL108,SPL109,SPL110,SPL111,SPL112,SPL113,SPL114,SPL115,SPL116,SPL117,SPL118,SPL119,SPL120,SPL121,SPL122,SPL123,SPL124,SPL125,SPL126,SPL127,SPL128,SPL129,SPL130,SPL131,SPL132,SPL133,SPL134,SPL135,SPL136,SPL137,SPL138,SPL139,SPL140,SPL141,SPL142,SPL143,SPL144,SPL145,SPL146,SPL147,SPL148,SPL149,SPL150,SPL151,SPL152,SPL153,SPL154,SPL155,SPL156,SPL157,SPL158,SPL159,SPL160,SPL161,SPL162,SPL163,SPL164,SPL165,SPL166,SPL167,SPL168,SPL169,SPL170,SPL171,SPL172,SPL173,SPL174,SPL175,SPL176,SPL177,SPL178,SPL179,SPL180,SPL181,SPL182,SPL183,SPL184,SPL185,SPL186,SPL187,SPL188,SPL189,SPL190,SPL191,SPL192,SPL193,SPL194,SPL195,SPL196,SPL197,SPL198,SPL199,SPL200,SPL201,SPL202,SPL203,SPL204,SPL205,SPL206,SPL207,SPL208,SPL209,SPL210,SPL211,SPL212,SPL213,SPL214,SPL215,SPL216,SPL217,SPL218,SPL219,SPL220,SPL221,SPL222,SPL223,SPL224,SPL225,SPL226,SPL227,SPL228,SPL229,SPL230,SPL231,SPL232,SPL233,SPL234,SPL235,SPL236,SPL237,SPL238,SPL239,SPL240,SPL241,SPL242,SPL243,SPL244,SPL245,SPL246,SPL247,SPL248,SPL249,SPL250,SPL251,SPL252,SPL253,SPL254,SPL255,SPL256,SPL257,SPL258,SPL259,SPL260,SPL261,SPL262,SPL263,SPL264,SPL265,SPL266,SPL267,SPL268,SPL269,SPL270,SPL271,SPL272,SPL273,SPL274,SPL275,SPL276,SPL277,SPL278,SPL279,SPL280,SPL281,SPL282,SPL283,SPL284,SPL285,SPL286,SPL287,SPL288,SPL289,SPL290,SPL291,SPL292,SPL293,SPL294,SPL295,SPL296,SPL297,SPL298,SPL299,SPL300,SPL301,SPL302,SPL303,SPL304,SPL305,SPL306,SPL307,SPL308,SPL309,SPL310,SPL311,SPL312,SPL313,SPL314,SPL315,SPL316,SPL317,SPL318,SPL319,SPL320,SPL321,SPL322,SPL323,SPL324,SPL325,SPL326,SPL327,SPL328,SPL329,SPL330,SPL331,SPL332,SPL333,SPL334,SPL335,SPL336,SPL337,SPL338,SPL339,SPL340,SPL341,SPL342,SPL343,SPL344,SPL345,SPL346,SPL347,SPL348,SPL349,SPL350,SPL351,SPL352,SPL353,SPL354,SPL355,SPL356,SPL357,SPL358,SPL359,SPL360,SPL361,SPL362,SPL363,SPL364,SPL365,SPL366,SPL367,SPL368,SPL369,SPL370,SPL371,SPL372,SPL373,SPL374,SPL375,SPL376,SPL377,SPL378,SPL379,SPL380,SPL381,SPL382,SPL383,SPL384,
Well,A1,B1,C1,D1,E1,F1,G1,H1,I1,J1,K1,L1,M1,N1,O1,P1,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,L2,M2,N2,O2,P2,A3,B3,C3,D3,E3,F3,G3,H3,I3,J3,K3,L3,M3,N3,O3,P3,A4,B4,C4,D4,E4,F4,G4,H4,I4,J4,K4,L4,M4,N4,O4,P4,A5,B5,C5,D5,E5,F5,G5,H5,I5,J5,K5,L5,M5,N5,O5,P5,A6,B6,C6,D6,E6,F6,G6,H6,I6,J6,K6,L6,M6,N6,O6,P6,A7,B7,C7,D7,E7,F7,G7,H7,I7,J7,K7,L7,M7,N7,O7,P7,A8,B8,C8,D8,E8,F8,G8,H8,I8,J8,K8,L8,M8,N8,O8,P8,A9,B9,C9,D9,E9,F9,G9,H9,I9,J9,K9,L9,M9,N9,O9,P9,A10,B10,C10,D10,E10,F10,G10,H10,I10,J10,K10,L10,M10,N10,O10,P10,A11,B11,C11,D11,E11,F11,G11,H11,I11,J11,K11,L11,M11,N11,O11,P11,A12,B12,C12,D12,E12,F12,G12,H12,I12,J12,K12,L12,M12,N12,O12,P12,A13,B13,C13,D13,E13,F13,G13,H13,I13,J13,K13,L13,M13,N13,O13,P13,A14,B14,C14,D14,E14,F14,G14,H14,I14,J14,K14,L14,M14,N14,O14,P14,A15,B15,C15,D15,E15,F15,G15,H15,I15,J15,K15,L15,M15,N15,O15,P15,A16,B16,C16,D16,E16,F16,G16,H16,I16,J16,K16,L16,M16,N16,O16,P16,A17,B17,C17,D17,E17,F17,G17,H17,I17,J17,K17,L17,M17,N17,O17,P17,A18,B18,C18,D18,E18,F18,G18,H18,I18,J18,K18,L18,M18,N18,O18,P18,A19,B19,C19,D19,E19,F19,G19,H19,I19,J19,K19,L19,M19,N19,O19,P19,A20,B20,C20,D20,E20,F20,G20,H20,I20,J20,K20,L20,M20,N20,O20,P20,A21,B21,C21,D21,E21,F21,G21,H21,I21,J21,K21,L21,M21,N21,O21,P21,A22,B22,C22,D22,E22,F22,G22,H22,I22,J22,K22,L22,M22,N22,O22,P22,A23,B23,C23,D23,E23,F23,G23,H23,I23,J23,K23,L23,M23,N23,O23,P23,A24,B24,C24,D24,E24,F24,G24,H24,I24,J24,K24,L24,M24,N24,O24,P24,
360/40,460/40 [Parallel],129,124,121,124,135,128,141,139,144,145,132,134,15,14,15,14,13,15,15,13,14,14,14,15,14,14,14,14,15,14,14,14,75,69,72,72,84,91,86,73,85,89,77,80,14,14,14,15,15,14,15,14,14,15,14,15,15,14,15,15,15,16,15,15,50,48,45,48,62,60,60,62,61,62,50,50,14,15,14,14,15,15,16,16,15,15,16,14,14,14,14,17,15,14,13,15,35,34,33,34,47,46,48,48,49,48,36,34,14,14,15,15,15,15,14,15,14,14,15,15,16,15,15,15,14,15,14,14,26,26,25,25,39,39,40,40,40,40,29,28,15,14,14,15,15,13,15,15,15,15,16,14,16,15,16,16,14,18,14,14,22,21,20,20,35,36,35,35,37,36,29,21,15,15,16,14,14,14,15,15,15,15,15,15,15,14,15,14,16,15,16,15,18,18,17,18,34,34,32,32,34,32,21,20,15,15,14,15,13,13,15,14,15,15,15,13,17,16,16,15,16,15,15,15,11,12,14,14,29,29,28,29,29,27,18,18,16,16,15,15,14,14,14,14,16,15,15,16,14,16,16,15,14,15,15,15,14,14,15,15,14,15,15,14,15,14,15,15,14,15,15,14,14,14,13,15,14,15,14,15,14,14,16,16,15,14,16,14,15,14,14,14,15,14,15,15,14,15,14,15,16,16,15,15,14,15,15,16,14,15,13,16,14,16,14,15,15,15,15,14,16,15,16,15,13,15,15,15,15,13,14,14,14,15,15,15,15,15,16,15,15,14,14,14,15,15,15,15,14,14,15,15,14,15,14,16,15,14,13,15,15,16,14,14,15,15,15,16,13,16,16,12,14,15,14,15,16,14,14,15,14,16,14,12,
360/40,460/40 [Perpendicular],184,180,178,177,183,173,192,188,194,203,188,189,8,12,11,12,12,6,15,13,10,12,15,11,12,10,13,14,11,12,12,17,105,93,102,98,108,119,109,93,108,115,103,107,11,11,9,12,14,13,11,12,13,14,8,8,10,10,13,13,10,13,14,15,70,66,63,64,72,74,74,75,71,71,63,64,13,10,11,10,12,11,13,13,13,10,12,14,13,22,13,15,13,10,9,13,35,45,39,41,50,52,51,50,51,57,45,39,13,14,11,11,12,11,16,13,9,14,10,11,13,13,16,13,11,10,13,13,32,28,29,31,45,42,42,44,42,39,36,31,10,12,11,14,11,11,14,12,11,8,12,10,7,9,10,15,8,16,12,12,19,25,21,23,31,38,33,31,35,34,31,20,12,9,10,10,14,14,12,14,13,12,13,7,16,10,13,12,15,14,10,11,15,17,18,17,34,28,33,31,30,29,20,20,9,12,11,11,14,11,9,14,8,11,12,16,10,12,13,16,16,10,13,13,10,9,11,8,27,24,22,25,24,25,10,14,10,13,11,10,14,13,13,11,12,13,12,10,11,13,12,13,9,14,10,15,11,14,8,11,15,11,11,15,11,11,13,9,11,13,14,9,15,12,11,13,12,14,7,11,17,15,15,14,14,13,11,15,8,9,11,14,20,7,14,14,10,15,14,12,14,11,14,10,10,12,11,12,6,16,8,12,16,13,10,10,14,12,12,14,8,12,17,11,14,12,8,11,11,15,12,13,11,8,14,14,7,13,10,10,12,15,14,12,11,9,12,11,11,11,14,13,12,9,10,15,11,14,16,16,11,13,7,9,16,11,9,8,10,12,11,11,8,11,18,14,12,15,12,12,11,9,13,12,
Parallel Intensity,129,124,121,124,135,128,141,139,144,145,132,134,15,14,15,14,13,15,15,13,14,14,14,15,14,14,14,14,15,14,14,14,75,69,72,72,84,91,86,73,85,89,77,80,14,14,14,15,15,14,15,14,14,15,14,15,15,14,15,15,15,16,15,15,50,48,45,48,62,60,60,62,61,62,50,50,14,15,14,14,15,15,16,16,15,15,16,14,14,14,14,17,15,14,13,15,35,34,33,34,47,46,48,48,49,48,36,34,14,14,15,15,15,15,14,15,14,14,15,15,16,15,15,15,14,15,14,14,26,26,25,25,39,39,40,40,40,40,29,28,15,14,14,15,15,13,15,15,15,15,16,14,16,15,16,16,14,18,14,14,22,21,20,20,35,36,35,35,37,36,29,21,15,15,16,14,14,14,15,15,15,15,15,15,15,14,15,14,16,15,16,15,18,18,17,18,34,34,32,32,34,32,21,20,15,15,14,15,13,13,15,14,15,15,15,13,17,16,16,15,16,15,15,15,11,12,14,14,29,29,28,29,29,27,18,18,16,16,15,15,14,14,14,14,16,15,15,16,14,16,16,15,14,15,15,15,14,14,15,15,14,15,15,14,15,14,15,15,14,15,15,14,14,14,13,15,14,15,14,15,14,14,16,16,15,14,16,14,15,14,14,14,15,14,15,15,14,15,14,15,16,16,15,15,14,15,15,16,14,15,13,16,14,16,14,15,15,15,15,14,16,15,16,15,13,15,15,15,15,13,14,14,14,15,15,15,15,15,16,15,15,14,14,14,15,15,15,15,14,14,15,15,14,15,14,16,15,14,13,15,15,16,14,14,15,15,15,16,13,16,16,12,14,15,14,15,16,14,14,15,14,16,14,12,
Perpendicular Intensity,121,118,117,116,120,114,126,124,128,134,124,124,5,8,7,8,8,4,10,9,7,8,10,7,8,7,9,9,7,8,8,11,69,61,67,64,71,78,72,61,71,76,68,70,7,7,6,8,9,9,7,8,9,9,5,5,7,7,9,9,7,9,9,10,46,43,41,42,47,49,49,49,47,47,41,42,9,7,7,7,8,7,9,9,9,7,8,9,9,14,9,10,9,7,6,9,23,30,26,27,33,34,34,33,34,38,30,26,9,9,7,7,8,7,11,9,6,9,7,7,9,9,11,9,7,7,9,9,21,18,19,20,30,28,28,29,28,26,24,20,7,8,7,9,7,7,9,8,7,5,8,7,5,6,7,10,5,11,8,8,13,16,14,15,20,25,22,20,23,22,20,13,8,6,7,7,9,9,8,9,9,8,9,5,11,7,9,8,10,9,7,7,10,11,12,11,22,18,22,20,20,19,13,13,6,8,7,7,9,7,6,9,5,7,8,11,7,8,9,11,11,7,9,9,7,6,7,5,18,16,14,16,16,16,7,9,7,9,7,7,9,9,9,7,8,9,8,7,7,9,8,9,6,9,7,10,7,9,5,7,10,7,7,10,7,7,9,6,7,9,9,6,10,8,7,9,8,9,5,7,11,10,10,9,9,9,7,10,5,6,7,9,13,5,9,9,7,10,9,8,9,7,9,7,7,8,7,8,4,11,5,8,11,9,7,7,9,8,8,9,5,8,11,7,9,8,5,7,7,10,8,9,7,5,9,9,5,9,7,7,8,10,9,8,7,6,8,7,7,7,9,9,8,6,7,10,7,9,11,11,7,9,5,6,11,7,6,5,7,8,7,7,5,7,12,9,8,10,8,8,7,6,9,8,
Polarization,32,23,16,31,57,59,55,58,60,41,32,37,480,279,349,279,244,583,206,206,361,279,173,349,279,361,241,206,349,279,279,112,41,60,35,55,83,75,91,88,89,81,64,64,318,318,405,310,239,241,349,279,241,239,453,480,390,361,274,274,390,303,239,206,41,50,41,65,134,104,104,114,133,141,93,86,241,390,318,361,310,349,303,303,274,390,339,206,241,-17,241,265,274,361,374,274,206,69,125,115,176,147,177,187,187,123,97,140,241,206,349,349,310,349,142,274,405,206,390,349,303,274,175,274,318,390,241,241,105,171,134,101,137,171,183,160,183,218,101,157,390,279,318,239,349,285,239,310,349,480,339,361,553,434,417,237,453,262,279,279,275,121,183,138,264,180,234,264,233,233,174,230,310,434,417,361,206,206,310,239,274,310,274,530,175,361,274,279,237,239,417,349,292,233,179,233,206,297,191,221,265,253,230,206,434,310,318,349,171,285,434,206,480,349,310,105,442,339,303,175,206,390,274,274,251,339,318,453,240,295,318,276,295,243,465,323,417,303,349,390,206,241,241,318,339,274,310,417,318,303,339,274,405,239,390,206,318,206,480,349,173,349,349,173,349,318,274,434,318,274,239,405,173,279,285,274,279,239,505,349,112,173,237,269,239,241,377,173,480,405,318,206,65,505,239,239,361,206,206,310,269,377,239,390,361,310,349,339,560,175,424,339,142,303,361,390,239,310,310,206,505,310,177,349,171,310,480,349,349,137,279,241,318,480,239,239,530,274,417,390,310,173,206,279,349,434,310,349,318,318,239,274,279,434,361,237,349,206,105,175,349,303,505,405,175,349,434,505,328,339,377,248,453,349,83,239,339,173,279,310,318,460,241,206,

