Well,Run,Voltage,Current
A4,19.0,0.40454199999999996,3.1552349999999998e-06
A4,20.0,0.40454199999999996,3.1517349999999997e-06
A5,1.0,0.390036,3.2969849999999997e-06
A5,2.0,0.39487099999999997,3.401985e-06
A5,3.0,0.39487099999999997,3.415984e-06
A5,4.0,0.39487099999999997,3.4142349999999998e-06
A5,5.0,0.399706,3.403734e-06
A5,6.0,0.39487099999999997,3.394984e-06
A5,7.0,0.399706,3.387984e-06
A5,8.0,0.399706,3.3827349999999997e-06
A5,9.0,0.399706,3.373985e-06
A5,10.0,0.40454199999999996,3.370485e-06
A5,11.0,0.40454199999999996,3.214735e-06
A5,12.0,0.40454199999999996,3.200735e-06
A5,13.0,0.40454199999999996,3.188485e-06
A5,14.0,0.40454199999999996,3.176235e-06
A5,15.0,0.40454199999999996,3.167485e-06
A5,16.0,0.40454199999999996,3.1552349999999998e-06
A5,17.0,0.40454199999999996,3.146486e-06
A5,18.0,0.40454199999999996,3.139485e-06
A5,19.0,0.40454199999999996,3.134236e-06
A5,20.0,0.409377,3.128986e-06
A6,1.0,0.380366,3.233985e-06
A6,2.0,0.38520099999999996,3.342485e-06
A6,3.0,0.38520099999999996,3.359985e-06
A6,4.0,0.38520099999999996,3.349484e-06
A6,5.0,0.390036,3.337234e-06
A6,6.0,0.390036,3.3267349999999998e-06
A6,7.0,0.390036,3.317985e-06
A6,8.0,0.39487099999999997,3.303985e-06
A6,9.0,0.39487099999999997,3.2987349999999998e-06
A6,10.0,0.399706,3.288235e-06
A6,11.0,0.399706,3.134235e-06
A6,12.0,0.399706,3.114986e-06
A6,13.0,0.399706,3.104486e-06
A6,14.0,0.40454199999999996,3.088736e-06
A6,15.0,0.40454199999999996,3.0799859999999998e-06
A6,16.0,0.40454199999999996,3.071236e-06
A6,17.0,0.40454199999999996,3.065986e-06
A6,18.0,0.40454199999999996,3.0519859999999998e-06
A6,19.0,0.40454199999999996,3.044986e-06
A6,20.0,0.40454199999999996,3.036236e-06
A7,1.0,0.38520099999999996,3.282985e-06
A7,2.0,0.390036,3.393234e-06
A7,3.0,0.390036,3.405485e-06
A7,4.0,0.39487099999999997,3.4002339999999997e-06
A7,5.0,0.39487099999999997,3.393235e-06
A7,6.0,0.39487099999999997,3.384484e-06
A7,7.0,0.399706,3.3739839999999998e-06
A7,8.0,0.399706,3.370485e-06
A7,9.0,0.399706,3.359985e-06
A7,10.0,0.399706,3.352984e-06
A7,11.0,0.40454199999999996,3.202485e-06
A7,12.0,0.40454199999999996,3.188485e-06
A7,13.0,0.40454199999999996,3.174485e-06
A7,14.0,0.40454199999999996,3.162235e-06
A7,15.0,0.40454199999999996,3.1534849999999998e-06
A7,16.0,0.40454199999999996,3.144736e-06
A7,17.0,0.40454199999999996,3.139485e-06
A7,18.0,0.40454199999999996,3.127236e-06
A7,19.0,0.409377,3.116736e-06
A7,20.0,0.40454199999999996,3.113236e-06
A8,1.0,0.390036,3.216485e-06
A8,2.0,0.390036,3.3564849999999998e-06
A8,3.0,0.390036,3.405484e-06
A8,4.0,0.390036,3.408984e-06
A8,5.0,0.390036,3.4019839999999998e-06
A8,6.0,0.39487099999999997,3.396735e-06
A8,7.0,0.39487099999999997,3.389734e-06
A8,8.0,0.39487099999999997,3.3844849999999997e-06
