Well,Run,Voltage,Current
A12,8.0,0.38520099999999996,3.587483e-06
A12,9.0,0.38520099999999996,3.573483e-06
A12,10.0,0.38520099999999996,3.562984e-06
A12,11.0,0.390036,2.05274e-06
A12,12.0,0.39487099999999997,2.03874e-06
A12,13.0,0.399706,2.029991e-06
A12,14.0,0.39487099999999997,2.023865e-06
A12,15.0,0.399706,2.018616e-06
A12,16.0,0.399706,2.011616e-06
A12,17.0,0.399706,2.008991e-06
A12,18.0,0.399706,2.000241e-06
A12,19.0,0.399706,1.997616e-06
A12,20.0,0.40454199999999996,1.992366e-06
A12,21.0,0.409377,1.242494e-06
A12,22.0,0.409377,1.225432e-06
A12,23.0,0.409377,1.2197439999999999e-06
A12,24.0,0.409377,1.215807e-06
A12,25.0,0.409377,1.213182e-06
A12,26.0,0.409377,1.211869e-06
A12,27.0,0.41421199999999997,1.206182e-06
A12,28.0,0.409377,1.205744e-06
A12,29.0,0.409377,1.200494e-06
A12,30.0,0.409377,1.196994e-06
A12,31.0,0.41421199999999997,8.369329999999999e-07
A12,32.0,0.419047,8.214019999999999e-07
A12,33.0,0.419047,8.1484e-07
A12,34.0,0.41421199999999997,8.15168e-07
A12,35.0,0.41421199999999997,8.12543e-07
A12,36.0,0.41421199999999997,8.099179999999999e-07
A12,37.0,0.419047,8.10027e-07
A12,38.0,0.419047,8.06308e-07
A12,39.0,0.419047,8.05105e-07
A12,40.0,0.419047,8.05105e-07
A12,41.0,0.491575,5.09685e-07
A2,1.0,0.390036,3.2689849999999998e-06
A2,2.0,0.39487099999999997,3.261985e-06
A2,3.0,0.39487099999999997,3.253235e-06
A2,4.0,0.399706,3.242735e-06
A2,5.0,0.399706,3.2392349999999997e-06
A2,6.0,0.399706,3.226985e-06
A2,7.0,0.399706,3.223485e-06
A2,8.0,0.40454199999999996,3.216485e-06
A2,9.0,0.40454199999999996,3.2112349999999998e-06
A2,10.0,0.40454199999999996,3.207735e-06
A2,11.0,0.40454199999999996,1.835741e-06
A2,12.0,0.40454199999999996,1.821742e-06
A2,13.0,0.409377,1.814741e-06
A2,14.0,0.41421199999999997,1.809492e-06
A2,15.0,0.41421199999999997,1.808617e-06
A2,16.0,0.409377,1.805117e-06
A2,17.0,0.409377,1.8033659999999999e-06
A2,18.0,0.409377,1.801616e-06
A2,19.0,0.409377,1.798992e-06
A2,20.0,0.41421199999999997,1.796366e-06
A2,21.0,0.41421199999999997,1.104682e-06
A2,22.0,0.419047,1.090682e-06
A2,23.0,0.419047,1.086307e-06
A2,24.0,0.41421199999999997,1.086307e-06
A2,25.0,0.419047,1.081057e-06
A2,26.0,0.419047,1.08062e-06
A2,27.0,0.41421199999999997,1.078432e-06
A2,28.0,0.419047,1.078432e-06
A2,29.0,0.419047,1.077557e-06
A2,30.0,0.419047,1.074495e-06
A2,31.0,0.423882,7.44949e-07
A2,32.0,0.423882,7.298559999999999e-07
A2,33.0,0.423882,7.25809e-07
A2,34.0,0.423882,7.260279999999999e-07
A2,35.0,0.423882,7.25699e-07
A2,36.0,0.423882,7.23403e-07
A2,37.0,0.423882,7.21324e-07
A2,38.0,0.42871699999999996,7.21434e-07
A2,39.0,0.42871699999999996,7.21434e-07
A2,40.0,0.419047,7.19903e-07
A2,41.0,0.361025,3.66623e-07
A3,1.0,0.36585999999999996,3.3844849999999997e-06
A3,2.0,0.370695,3.366984e-06
A3,3.0,0.375531,3.3564849999999998e-06
A3,4.0,0.375531,3.342485e-06
A3,5.0,0.380366,3.335485e-06
A3,6.0,0.380366,3.328484e-06
A3,7.0,0.38520099999999996,3.314485e-06
A3,8.0,0.38520099999999996,3.305735e-06
A3,9.0,0.38520099999999996,3.2987349999999998e-06
A3,10.0,0.390036,3.291735e-06
A3,11.0,0.390036,1.851491e-06
A3,12.0,0.39487099999999997,1.836616e-06
A3,13.0,0.39487099999999997,1.829616e-06
A3,14.0,0.39487099999999997,1.827866e-06
A3,15.0,0.39487099999999997,1.824366e-06
A3,16.0,0.399706,1.822616e-06
A3,17.0,0.399706,1.8191159999999999e-06
A3,18.0,0.399706,1.815616e-06
A3,19.0,0.399706,1.812116e-06
A3,20.0,0.399706,1.810366e-06
A3,21.0,0.40454199999999996,1.0876199999999999e-06
A3,22.0,0.40454199999999996,1.074932e-06
A3,23.0,0.40454199999999996,1.068807e-06
A3,24.0,0.40454199999999996,1.067057e-06
A3,25.0,0.409377,1.064432e-06
A3,26.0,0.40454199999999996,1.060057e-06
A3,27.0,0.40454199999999996,1.060495e-06
A3,28.0,0.40454199999999996,1.0591819999999999e-06
A3,29.0,0.40454199999999996,1.0587449999999999e-06
A3,30.0,0.40454199999999996,1.0578699999999999e-06
A3,31.0,0.41421199999999997,7.22418e-07
A3,32.0,0.41421199999999997,7.06012e-07
